num,text,title
97,'năr abri,Bình Định\Từ điển Kriem\Câu.xlsx
98,'năr adrâu 'nhŏng pơ dĕi hŏk,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
99,'năr adrâu duch nhơn năm tơ mir,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
100,'năr adrâu kăn hơ xŏh mir,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
101,"'năr ayư̆m, ayư̆ng",Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
102,'năr dơning,Bình Định\Từ điển Kriem\Câu.xlsx
103,'năr tơ muôh kăn hơ trŭh,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
104,"'yok 'măng pơtăm măng  ara ken 'nâu, đưng rong đei ngo jơh 'boh 'long jơh đei grông pơjing hơgei,  'long đat đei  ala 10 - 12 mm ( grông loi   điêu thuôk hla), hla tơp'lih jing mau kơse đâm tơng  lei rơih 'yok 2 - 3 tơ;mưn 'long mi jăng, wă căt ha tuk vach 'long tơ'băng uêi lơm đô đuôi 1,20m sư wă kich thich tơdrong lech tơ'băng.",Bình Định\Văn bản phát thanh\KH-CN\KH-CN bai 09.xlsx
105,'yêr uôh (cham xâm găt),Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
106,'yĕr,Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
107,"'yŏk, kuôt 'bâr ĭnh khan",Bình Định\Điền dã\Ngữ pháp\Bang_ngu_phap_7_BD.xlsx
108,'yơĭ tơdrong 'neĭ,Bình Định\Điền dã\Ngữ pháp\Ngữ pháp.xlsx
109,(  Kem tĭa  Quyết đĭnh sô: 1203/QĐ-UBND 'năr 05/4/2017 dĭ Chu tĭch UBND tinh),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 45.xlsx
110,( 'Ban hanh kem tĭa Kuyêt đĭnh sô 20/2015/QĐ-UBND 'năr 06/8/2015 dĭ uy 'ban nhân yân tinh 'Binh Đĭnh ),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 60.xlsx
111,( AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ puoân khoâng tôpôêh tôpôêh/QÑ-BTP ‘naêr peâng jiêt minh kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt puoân ñôêng ‘Boâ tröông ‘Boâ tö phap),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 15.xlsx
112,( Chi tiêt 'boi phu luk đĭnh kem Kuyêt đĭnh 'nâu),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 53.xlsx
113,( Chi tiêt 'boi phŭ luk pơk'lep Kuyêt đĭnh 'nâu),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 67.xlsx
114,( Kem tia Kuyêt đinh sô số 35/2017/QĐ-UBND 'năr 14 khei 7 sơnăm 2017 di Uy 'ban nhân yân tinh 'Binh Đinh),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 61.xlsx
115,( Kem tia Pơđam Kuy hoch pơjing pơtăm 'long tinh 'Binh Đinh truh sơnăm 2020 păng pơtruh sơnăm 2030),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 63.xlsx
116,( Kem tĭa Kuyêt đĭnh sô 1504/QĐ-UBND 'năr 04 khĕi 5 sơnăm 2019 dĭ Chu tich UBND tinh),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 55.xlsx
117,( Kem tĭa Nghĭ kuuyêt sô 13/2019/NQ-HĐND 'năr 11 khĕi 7 sơnăm 2019 dĭ hôi đong nhân yân tinh 'Binh Đĭnh ),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 56.xlsx
118,( Kèm tía Kuuyêt đinh sô 35/2017/QĐ-UBND 'năr 14 khei 7 sơnăm 2017 di Uy 'ban nhân yân tinh 'binh Đinh ),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 61.xlsx
119,( Nôi yung chi tiêt păng phân kông 'boi Phu luk kem 'boi),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 44.xlsx
120,"( Pơtho khan, pơtâp ăn đê nă ma choh jang, tĕch pơdro đô hla 'nhêm, plĕi, axách, thuy san 'bĭa yung bơgang sư lơm đô plĕi 'long, đô hóa chất sư vĕi jư, pơtho khan krao akom  đê nă ma ruốt đô, ne pă ruôt đô  thưk phâm thuy san bĭ ro nguôn gôk, 'bĭ  tơ'măn tơl an toan..)",Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 44.xlsx
121,( Ơi Phu luk  chi tiêt đinh kem),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 65.xlsx
122,('Ban hanh kem tĭa Kuyê̆t đĭnh sô̆ 434/QĐ-UBND năr 13/02/2020 dĭ Chu tich UBND tinh),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 09.xlsx
123,('ban hanh kem tĭa Nghĭ kuyêt sô̆ 14/2019/NQ-HĐND năr 11 khĕi 7 xơ năm 2019 dĭ Hô̆i đông nhân yân tinh 'Binh Đĭnh),"Bình Định\Văn bản phát thanh\KH-CN\KH-CN bai 07.xlsx, Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 07.xlsx"
124,"(Adriêng chu tau ka ôêi hoâ khôu thöông truê dônoê thanh phoâÊ Quy Nhôn, noâp tröêk tieâp aên Chi kuêk khai thak oeêng jö vei nguoân lôi thuy san)",Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 24.xlsx
125,"(Adriêng ñe hô-yoh ôêi tôdrong pôgloh, ñe hô-yoh kon koâng biê tôpaê phai ôêi duh tôdrong chaê ‘yoêk in ‘noh maêleêi tômaên tôl lôêm tôdrong nöêih sôngöêm)",Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 13.xlsx
126,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ minh ‘baêl minh/QÑ-UBND ‘naêr minh jiêt kheêi minh sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng UBND tinh ‘Binh Ñinh),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 15.xlsx
127,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ puoân drôêu pôñaêm/QÑ-UBND ‘naêr minh jiêt tôpôêh kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng UBND tinh ‘Binh Ñinh),Bình Định\Văn bản phát thanh\KT-XH\KT-XH bai 36.xlsx
128,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ puoân ‘baêl tôxiênh/QÑ-UBND ‘naêr minh jiêt ‘baêl kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng UBND tinh),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 16.xlsx
129,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ tôpôêh tôxiênh tôxiênh/QÑ-UBND ‘naêr minh jiêt tôhngam kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng UBND tinh),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 14.xlsx
130,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ ‘baêl khoâng puoân drôêu/QÑ-UBND ‘naêr tôpôêh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôpôêh ñôêng UBND tinh),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 13.xlsx
131,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ ‘baêl minh puoân tôpôêh/QÑ-UBND ‘naêr ‘baêl jiêt pôñaêm kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng UBND tinh),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 18.xlsx
132,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ ‘baêl ‘baêl puoân khoâng/QÑ-CTUBND ‘naêr pôñaêm kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt minh ñôêng CTUBND tinh),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 24.xlsx
133,(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ: Minh peâng pôñaêm pôñaêm/QÑ-UBND ‘naêr minh jiêt peâng kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng Chu tich UBND tinh Binh Ñinh),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 43.xlsx
134,(AÊn leêch pôteêp adriêng KueâÊt ñinh peâng minh puoân tôpôêh/QÑ-BTP ‘naêr ‘baêl jiêt tôhngam kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôhngam ñôêng ‘Boâ tröông ‘Boâ Tö phap),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 15.xlsx
135,(AÊn leêch pôteêp adriêng Nghiê kueâÊt ksoâÊ pôñaêm jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh/NQ-HÑND ‘naêr minh jiêt peâng kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng HÑND tinh ‘Binh Ñinh),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 34.xlsx
136,"(AÊn leêch pôteêp adriêng Nghiê kueâÊt ksoâÊ ‘baêl jiêt tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm/NQ-HĐND ‘naêr ‘baêl jiêt pôñaêm kheêi minh jiêt ‘baêl sônaêm ‘baêl ôbôêu khoâng hieâng minh jiêt pôñaêm ñôêng HÑND tinh khoêa minh jiêt minh, maêng hoêp minh jiêt ‘baêl)",Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 22.xlsx
137,(Chi tieât ‘boi phu luêk pôteêp adriêng),Bình Định\Văn bản phát thanh\VH-TT\VH-TT bai 11.xlsx
138,(Chi tieâÊt ‘boi phuê luêk pôteêp adriêng KueâÊt ñinh anu),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 21.xlsx
139,(Chi tiêt in Tơ trinh sô 1025/TTr-SNN 'năr 28/3/2017 dĭ Sở Nông nghiệp păng  PTNT),Bình Định\Văn bản phát thanh\TT-CS\TT-CS bai 45.xlsx
